City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Lüderitz,0,NA,1601721127,56,-26.65,15.16,64.53,14.32
Sur,0,OM,1601721127,38,22.57,59.53,90.9,7.87
Ahipara,4,NZ,1601721107,82,-35.17,173.17,51.91,2.77
Pimenta Bueno,65,BR,1601721128,84,-11.67,-61.19,74.25,1.34
Nikolskoye,52,RU,1601721047,62,59.7,30.79,63.0,13.42
Touros,20,BR,1601721128,83,-5.2,-35.46,77.0,5.82
Catalina Foothills,1,US,1601721128,16,32.3,-110.92,73.99,6.93
Hermanus,99,ZA,1601721044,90,-34.42,19.23,61.0,4.0
Lebu,51,CL,1601721039,80,-37.62,-73.65,43.29,3.2
Manta,100,EC,1601721129,84,-0.95,-80.73,69.4,6.98
Aras,75,ES,1601721129,58,42.56,-2.36,57.2,21.92
Rikitea,61,PF,1601721044,80,-23.12,-134.97,72.63,14.41
Coité do Nóia,4,BR,1601721130,66,-9.63,-36.58,76.64,12.03
Ushuaia,75,AR,1601721038,64,-54.8,-68.3,37.4,11.41
Hobart,75,AU,1601721038,87,-42.88,147.33,55.99,6.93
Vila Franca do Campo,40,PT,1601721131,73,37.72,-25.43,69.8,14.99
General Roca,75,AR,1601721131,69,-39.03,-67.58,39.2,10.29
Hilo,1,US,1601720956,88,19.73,-155.09,73.4,4.7
Clyde River,90,CA,1601721057,74,70.47,-68.59,28.4,5.82
Cape Town,20,ZA,1601720985,49,-33.93,18.42,72.0,9.17
Avarua,71,CK,1601721035,88,-21.21,-159.78,71.6,2.24
Puerto Ayora,50,EC,1601721034,95,-0.74,-90.35,64.99,8.99
Chokurdakh,49,RU,1601721070,85,70.63,147.92,28.76,12.39
Bilibino,86,RU,1601720924,88,68.05,166.44,24.8,1.36
Butaritari,100,KI,1601721080,67,3.07,172.79,81.75,6.08
New Norfolk,100,AU,1601721046,72,-42.78,147.06,55.99,3.0
Rome,90,US,1601721092,87,43.21,-75.46,50.0,3.36
Arteaga,0,MX,1601721134,53,18.47,-102.42,60.06,4.07
Camaçari,20,BR,1601721135,74,-12.7,-38.32,78.8,8.05
Oranjemund,0,NA,1601721066,60,-28.55,16.43,63.19,11.68
Poum,38,NC,1601721135,75,-20.23,164.02,71.55,15.03
Rodolfo Sánchez Taboada,0,MX,1601721136,43,31.72,-116.57,70.5,0.96
Atuona,3,PF,1601721072,77,-9.8,-139.03,78.08,22.01
Henderson,1,US,1601721120,11,36.04,-114.98,71.6,3.24
Qaanaaq,72,GL,1601720947,84,77.48,-69.36,22.44,5.35
Ürümqi,99,CN,1601720937,25,43.8,87.6,60.8,6.71
Khatanga,74,RU,1601721057,97,71.97,102.5,20.8,8.46
Bluff,100,NZ,1601720957,93,-46.6,168.33,55.0,8.01
East London,90,ZA,1601721096,100,-33.02,27.91,59.0,14.99
Vaini,90,TO,1601721059,94,-21.2,-175.2,71.6,9.17
Babu,76,CN,1601721100,72,24.42,111.52,81.5,4.03
Nanortalik,98,GL,1601720914,90,60.14,-45.24,36.91,12.8
Busselton,45,AU,1601721035,76,-33.65,115.33,55.0,1.01
Barrow,90,US,1601721056,100,71.29,-156.79,33.8,11.41
Cayenne,40,GF,1601720835,100,4.93,-52.33,73.4,9.04
Hobyo,44,SO,1601721139,65,5.35,48.53,84.38,18.07
Esperance,75,AU,1601721034,87,-33.87,121.9,50.0,12.75
Pareora,97,NZ,1601721139,60,-44.49,171.21,54.84,17.56
Port Elizabeth,90,ZA,1601721056,93,-33.92,25.57,59.0,11.41
Port Blair,90,IN,1601721140,94,11.67,92.75,78.8,10.74
Kangundo,40,KE,1601721140,36,-1.3,37.35,78.8,8.05
Ponta do Sol,20,PT,1601721140,69,32.67,-17.1,75.2,12.75
Saint George,1,US,1601721048,10,37.1,-113.58,62.6,4.36
Punta Arenas,100,CL,1601721046,65,-53.15,-70.92,41.0,21.92
Kasongo,79,CD,1601721141,71,-4.45,26.67,83.64,1.88
Ovsyanka,87,RU,1601721141,68,55.96,92.55,46.4,4.47
Tasiilaq,90,GL,1601720914,95,65.61,-37.64,32.0,3.36
Shubarshi,0,KZ,1601721141,24,48.59,57.19,67.69,4.47
Yarkovo,90,RU,1601721142,67,57.4,67.08,51.64,11.25
Ajdabiya,0,LY,1601721143,16,30.76,20.23,102.24,12.48
Dibulla,100,CO,1601721143,80,11.27,-73.31,77.85,5.35
Santa Flavia,99,IT,1601721143,28,38.09,13.54,91.99,25.99
Hithadhoo,83,MV,1601721005,74,-0.6,73.08,83.44,12.17
Asău,85,RO,1601721144,62,46.43,26.4,72.0,6.93
Dikson,100,RU,1601721059,88,73.51,80.55,34.27,23.82
Mar del Plata,40,AR,1601721042,52,-38.0,-57.56,44.01,13.87
Laredo,1,US,1601721120,93,27.51,-99.51,64.4,4.7
San Quintín,0,MX,1601721117,62,30.48,-115.95,69.8,0.83
Labuhan,63,ID,1601721145,72,-6.88,112.21,83.28,8.08
Owando,4,CG,1601721145,42,-0.48,15.9,96.26,1.48
Saint Paul Harbor,40,US,1601721060,66,57.79,-152.41,48.2,10.29
Puerto Escondido,77,MX,1601721145,63,15.85,-97.07,75.25,6.33
Saquarema,13,BR,1601721146,88,-22.92,-42.51,75.2,8.05
Penzance,75,GB,1601721146,81,50.12,-5.54,53.6,27.51
Naryan-Mar,82,RU,1601721113,70,67.67,53.09,40.21,10.47
Yellowknife,90,CA,1601720950,100,62.46,-114.35,44.6,14.99
Sambava,50,MG,1601721107,64,-14.27,50.17,79.12,11.74
Albany,80,US,1601721045,86,42.6,-73.97,45.0,2.98
Tombouctou,0,ML,1601721147,26,20.0,-3.0,97.97,12.62
Neiafu,44,TO,1601720956,84,-18.65,-173.98,78.24,20.13
Umm Kaddadah,0,SD,1601721147,28,13.6,26.69,94.98,3.71
Katangli,100,RU,1601721148,86,51.71,143.23,48.61,21.65
Moba,100,CN,1601721148,83,33.23,105.02,49.82,6.44
Jamestown,90,US,1601721043,100,42.1,-79.24,42.01,5.82
Christiansburg,75,US,1601721148,100,37.13,-80.41,39.99,0.83
Laguna,1,US,1601721077,77,38.42,-121.42,66.0,1.77
Dwārka,3,IN,1601721149,67,22.24,68.97,84.85,12.57
Houndé,43,BF,1601721149,65,11.5,-3.52,83.82,7.16
Samarai,56,PG,1601721063,87,-10.62,150.67,78.62,16.69
Mataura,100,NZ,1601721042,94,-46.19,168.86,55.0,10.0
Carnarvon,0,AU,1601720957,49,-24.87,113.63,68.0,25.28
Roald,0,NO,1601720911,48,62.58,6.13,64.99,13.87
Nuuk,75,GL,1601721150,74,64.18,-51.72,33.8,3.36
Chui,38,UY,1601721077,69,-33.7,-53.46,50.43,16.22
Rongcheng,100,CN,1601721150,93,30.63,117.85,68.63,4.07
Tuktoyaktuk,100,CA,1601721040,87,69.45,-133.04,41.86,17.69
Hasaki,75,JP,1601721061,82,35.73,140.83,68.0,1.12
Fort Nelson,40,CA,1601720950,87,58.81,-122.7,42.8,2.24
Upernavik,100,GL,1601720914,94,72.79,-56.15,33.85,19.24
Nagato,40,JP,1601721059,83,34.38,131.2,75.2,4.7
Alofi,87,NU,1601721093,94,-19.06,-169.92,75.2,8.05
Kashgar,76,CN,1601720937,25,39.45,75.98,66.2,4.47
Geraldton,0,AU,1601721040,55,-28.77,114.6,60.8,19.46
Talnakh,40,RU,1601721068,95,69.49,88.4,32.0,24.61
Chkalovsk,51,RU,1601721153,42,56.76,43.24,66.2,2.24
Launceston,90,AU,1601721153,77,-41.45,147.17,61.0,6.93
Cabo San Lucas,0,MX,1601721153,77,22.89,-109.91,77.0,1.01
Arraial do Cabo,1,BR,1601721104,88,-22.97,-42.03,75.2,8.05
Puerto Carreño,64,CO,1601721154,91,6.19,-67.49,74.84,3.31
Kapaa,20,US,1601721039,83,22.08,-159.32,78.8,5.82
Fare,22,PF,1601721084,76,-16.7,-151.02,79.5,19.24
Port Hawkesbury,20,CA,1601721155,93,45.62,-61.35,55.4,10.29
Longyearbyen,20,SJ,1601721052,90,78.22,15.64,32.0,1.12
Saskylakh,80,RU,1601721037,97,71.92,114.08,25.93,12.3
Narsaq,75,GL,1601721041,93,60.92,-46.05,37.4,1.45
Aklavik,90,CA,1601721086,87,68.22,-135.01,42.8,6.93
Biloela,0,AU,1601721156,72,-24.42,150.5,65.17,8.9
Wojkowice,9,PL,1601721157,56,50.37,19.04,77.0,21.92
Adrar,0,MR,1601721157,20,20.5,-10.07,88.5,9.33
Kruisfontein,100,ZA,1601721157,83,-34.0,24.73,60.01,7.0
Kita,100,ML,1601721157,91,13.03,-9.49,73.87,3.58
Fairbanks,75,US,1601721158,54,64.84,-147.72,53.6,8.05
Anicuns,0,BR,1601721158,21,-16.46,-49.96,85.21,2.89
Caçu,0,BR,1601721158,16,-18.56,-51.13,89.4,3.6
Turukhansk,100,RU,1601721158,96,65.82,87.98,43.16,7.52
Barcelos,40,PT,1601721151,87,41.54,-8.62,57.2,9.71
Balabac,66,PH,1601721159,80,7.99,117.06,82.69,9.01
Tabou,99,CI,1601721159,83,4.42,-7.35,79.72,10.78
Port Alfred,97,ZA,1601720945,81,-33.59,26.89,61.59,24.09
Baker City,1,US,1601721159,70,44.77,-117.83,44.6,2.89
Salalah,20,OM,1601720932,66,17.02,54.09,86.0,14.99
Qaqortoq,75,GL,1601721160,93,60.72,-46.03,37.4,2.44
Souillac,20,MU,1601721054,57,-20.52,57.52,80.6,14.99
Thompson,75,CA,1601720946,99,55.74,-97.86,32.0,2.24
Nago,40,JP,1601720960,73,26.59,127.98,80.01,3.36
Namatanai,82,PG,1601721099,81,-3.67,152.43,80.38,7.47
Saint-Philippe,75,RE,1601721049,69,-21.36,55.77,78.8,10.29
Navan,75,IE,1601721161,93,53.65,-6.68,48.2,13.87
Kavaratti,49,IN,1601720933,73,10.57,72.64,81.84,12.5
Riyadh,0,SA,1601721115,14,24.69,46.72,96.8,6.93
Kimbe,28,PG,1601721162,85,-5.55,150.14,76.98,3.78
Lavrentiya,74,RU,1601720924,85,65.58,-171.0,40.41,11.99
Bredasdorp,100,ZA,1601721055,77,-34.53,20.04,64.4,18.34
Gwadar,0,PK,1601721163,36,25.12,62.33,91.49,17.38
Reno,1,US,1601721120,40,39.53,-119.81,55.0,1.79
Noumea,20,NC,1601721085,68,-22.28,166.46,68.0,16.11
Magadan,4,RU,1601720924,75,59.57,150.8,42.55,3.29
Opuwo,89,NA,1601721163,10,-18.06,13.84,91.81,6.22
Cidreira,100,BR,1601721088,79,-30.18,-50.21,59.63,16.8
Dingle,100,PH,1601721164,94,11.0,122.67,76.71,3.67
Erzin,0,TR,1601721164,70,36.96,36.2,80.01,5.01
Prince Rupert,90,CA,1601721165,100,54.32,-130.32,55.4,9.17
Katsuura,75,JP,1601721079,83,35.13,140.3,71.6,6.93
Norman Wells,75,CA,1601721047,80,65.28,-126.83,41.0,2.24
Perth,20,AU,1601720971,54,-31.93,115.83,60.01,16.11
Nador,20,MA,1601721042,49,35.17,-2.93,68.0,27.51
Orbetello,40,IT,1601721166,72,42.44,11.22,66.2,17.22
Ostrovnoy,96,RU,1601720923,62,68.05,39.51,43.97,9.51
Tura,59,IN,1601721041,85,25.52,90.22,80.11,3.31
Pendleton,1,US,1601721167,66,45.67,-118.79,59.0,6.93
Mount Gambier,90,AU,1601721096,87,-37.83,140.77,57.2,9.17
Mergen,63,CN,1601721168,87,49.18,125.22,45.64,2.59
Los Llanos de Aridane,75,ES,1601721097,61,28.66,-17.92,77.0,14.99
Romitan,0,UZ,1601721169,15,39.93,64.38,77.0,6.93
Torbay,90,CA,1601721058,100,47.67,-52.73,69.01,19.46
Karratha,0,AU,1601721051,28,-20.74,116.85,80.06,16.42
Vuktyl,79,RU,1601721169,68,63.86,57.31,40.15,13.06
Elko,1,US,1601721170,44,41.0,-115.5,55.0,3.36
Faanui,16,PF,1601720956,78,-16.48,-151.75,78.37,17.96
Bethel,1,US,1601721061,100,41.37,-73.41,44.01,3.0
Ribeira Grande,40,PT,1601721047,69,38.52,-28.7,73.4,13.87
Beringovskiy,100,RU,1601721071,94,63.05,179.32,37.96,24.0
Lata,4,PT,1601721085,76,40.16,-8.33,57.0,1.01
Vila Velha,13,BR,1601721069,69,-20.33,-40.29,78.01,20.8
Sola,90,VU,1601720956,78,-13.88,167.55,80.6,5.82
Manaure,100,CO,1601721172,81,11.78,-72.44,79.41,8.72
Teya,99,RU,1601721172,87,60.38,92.63,41.72,8.81
Padang,88,ID,1601721108,71,-0.95,100.35,81.52,4.27
Grindavik,75,IS,1601721104,80,63.84,-22.43,41.0,16.11
Burayevo,10,RU,1601721173,68,55.84,55.41,59.25,11.52
Praia,20,CV,1601721055,74,14.92,-23.51,80.6,26.4
Usinsk,64,RU,1601721173,69,65.99,57.53,40.1,12.8
Empório,20,GR,1601721174,49,40.48,21.55,71.6,6.71
Lampang,20,TH,1601721022,74,18.33,99.5,86.0,2.24
Loreto,16,MX,1601721174,87,22.27,-101.97,45.45,2.95
Iqaluit,90,CA,1601721072,80,63.75,-68.51,30.2,4.7
Fortuna,0,US,1601721077,96,40.6,-124.16,54.0,1.01
Caravelas,84,BR,1601721091,66,-17.71,-39.25,79.39,7.72
Santa Isabel,90,BR,1601721175,83,-23.32,-46.22,73.4,5.82
Balkanabat,67,TM,1601721175,16,39.51,54.37,78.08,3.15
Bengkulu,97,ID,1601720758,75,-3.8,102.27,82.22,7.47
Madimba,75,TZ,1601721176,66,-10.4,40.33,84.2,11.41
Aksarka,49,RU,1601721176,71,66.56,67.8,37.67,18.54
Juneau,90,US,1601721118,93,58.3,-134.42,52.0,4.7
Faya,20,SA,1601721176,9,18.39,42.45,80.6,13.87
Byron Bay,0,AU,1601721177,77,-28.65,153.62,62.6,4.7
Srednekolymsk,38,RU,1601721177,91,67.45,153.68,28.8,5.5
Muroto-misakicho,75,JP,1601721177,83,33.28,134.15,71.6,4.7
Leningradskiy,100,RU,1601721177,96,69.38,178.42,31.98,10.98
Quatre Cocos,20,MU,1601721178,57,-20.21,57.76,80.6,14.99
Kaohsiung City,40,TW,1601720984,70,22.62,120.31,84.2,9.17
Vaasa,10,FI,1601721178,67,63.1,21.62,57.2,6.93
Nālūt,0,LY,1601721095,8,30.33,10.85,103.39,22.26
Talaya,33,RU,1601721178,91,61.38,152.75,32.43,0.85
Nahariya,20,IL,1601721153,51,33.01,35.09,86.0,9.17
Hofn,100,IS,1601721074,91,64.25,-15.21,47.05,14.81
Solton,0,RU,1601721179,68,52.84,86.48,44.78,1.48
Port Hardy,90,CA,1601721045,100,50.7,-127.42,51.8,4.7
Zhigansk,100,RU,1601720923,91,66.77,123.37,33.01,15.64
Davila,75,PH,1601721056,66,18.47,120.58,87.8,3.36
Coyhaique,0,CL,1601721180,85,-45.58,-72.07,19.4,2.24
Lady Frere,52,ZA,1601721180,27,-31.7,27.23,67.73,1.34
Bichura,47,RU,1601721180,87,50.59,107.6,29.7,6.33
Sisimiut,99,GL,1601721181,92,66.94,-53.67,31.77,3.38
Castro,16,BR,1601721039,84,-24.79,-50.01,65.98,11.95
Aykhal,90,RU,1601721181,92,66.0,111.5,30.2,8.95
Bambous Virieux,20,MU,1601721066,57,-20.34,57.76,80.6,14.99
São Gabriel da Cachoeira,87,BR,1601721182,96,-0.13,-67.09,73.8,1.36
Stromness,90,GB,1601720912,100,58.97,-3.3,50.0,1.12
George Town,20,MY,1601721010,70,5.41,100.34,86.0,8.05
Constitución,0,CL,1601721049,71,-35.33,-72.42,44.85,6.96
Severo-Kuril'sk,1,RU,1601721113,76,50.68,156.12,45.64,10.0
San Patricio,3,MX,1601721183,85,19.22,-104.7,74.71,4.25
Provideniya,88,RU,1601720924,85,64.38,-173.3,41.5,11.81
Ixtapa,3,MX,1601721183,73,20.7,-105.2,77.0,5.48
Malm,9,NO,1601721184,58,64.07,11.22,59.0,19.46
Santiago del Estero,100,AR,1601720955,78,-27.8,-64.26,53.29,16.13
Lowestoft,100,GB,1601721184,99,52.48,1.75,57.99,8.99
Egvekinot,91,RU,1601720924,94,66.32,-179.17,31.15,15.75
Ust-Kuyga,100,RU,1601721118,85,70.02,135.6,31.96,12.26
Villa Carlos Paz,40,AR,1601721186,49,-31.42,-64.5,50.0,6.93
Hong Kong,0,HK,1601720880,70,22.29,114.16,84.0,11.32
Mahébourg,20,MU,1601721065,57,-20.41,57.7,80.6,14.99
Plettenberg Bay,100,ZA,1601721186,89,-34.05,23.37,58.8,16.2
Deputatsky,100,RU,1601721118,94,69.3,139.9,23.85,20.09
Nome,90,US,1601721187,81,64.5,-165.41,48.0,9.17
Sālūmbar,40,IN,1601721130,36,24.13,74.05,93.2,3.94
Santa Maria,91,BR,1601721187,86,-29.68,-53.81,55.98,16.6
Taree,0,AU,1601721187,77,-31.9,152.47,64.4,13.87
Itoman,20,JP,1601721046,61,26.12,127.67,80.6,10.29
Kālīnagar,0,IN,1601721188,54,28.62,80.1,89.44,3.62
Kutum,1,SD,1601721188,26,14.2,24.67,89.55,11.5
Tiksi,0,RU,1601720922,95,71.69,128.87,25.38,21.14
Isangel,20,VU,1601721189,94,-19.55,169.27,69.8,5.82
Mangochi,35,MW,1601721189,21,-14.48,35.26,97.43,4.85
Hede,100,CN,1601720940,81,33.77,120.25,67.46,8.95
Walvis Bay,1,NA,1601721190,48,-22.96,14.51,66.2,8.05
Chernyshevskiy,98,RU,1601721192,93,63.01,112.47,31.51,8.95
Caculé,14,BR,1601721192,57,-14.5,-42.22,73.87,6.62
Yar-Sale,89,RU,1601721038,76,66.83,70.83,36.7,21.97
Codrington,86,AU,1601721193,78,-38.27,141.97,56.62,11.27
Oktyabr'skoye,44,RU,1601721193,56,43.06,44.74,69.8,4.47
Quelimane,20,MZ,1601721193,58,-17.88,36.89,87.8,8.05
Bakel,38,SN,1601721193,53,14.9,-12.46,90.52,12.5
Nanhai,100,CN,1601721194,98,30.13,111.78,55.99,15.37
Morant Bay,20,JM,1601721194,70,17.88,-76.41,84.2,21.92
Ambilobe,10,MG,1601721041,29,-13.2,49.05,94.91,7.61
Carambeí,8,BR,1601721194,86,-24.92,-50.1,64.83,11.21
Mehamn,33,NO,1601720911,77,71.04,27.85,49.48,18.39
Rudnogorsk,85,RU,1601721195,92,57.26,103.75,29.82,4.34
Airai,85,TL,1601720866,90,-8.93,125.41,62.96,2.91
Vista Hermosa,90,MX,1601721195,66,19.52,-99.22,53.6,6.93
Tigil',4,RU,1601721196,83,57.8,158.67,35.74,2.1
Shahrud,19,IR,1601721143,22,36.42,54.98,75.97,7.87
Waipawa,64,NZ,1601721119,82,-41.41,175.52,59.0,17.22
Pochutla,27,MX,1601721197,90,15.74,-96.47,75.0,4.0
Aksay,69,RU,1601721197,42,47.26,39.87,66.2,17.9
Tambura,53,SS,1601721198,61,5.6,27.47,85.78,3.22
Ancud,0,CL,1601721049,100,-41.87,-73.82,36.0,5.82
Pisco,73,PE,1601721042,93,-13.7,-76.22,59.0,10.29
Alekseyevsk,62,RU,1601721198,91,57.84,108.35,30.81,3.89
Grande Prairie,40,CA,1601720950,93,55.17,-118.8,41.0,2.24
Cherskiy,100,RU,1601720924,92,68.75,161.3,30.76,4.74
The Valley,75,AI,1601721151,88,18.22,-63.06,79.0,3.36
Ubari,0,LY,1601721199,9,26.59,12.78,101.01,15.77
Calama,20,CL,1601721199,24,-22.47,-68.93,44.6,13.87
Mamlyutka,92,KZ,1601721200,45,54.94,68.54,64.4,15.66
Jaen,51,ES,1601721200,49,38.0,-3.5,59.0,10.89
